iter	RMSE
0	0.2093360632
1	0.2084661508
2	0.2076911295
3	0.2070157399
4	0.2060314101
5	0.2046429621
6	0.2032169643
7	0.2018099239
8	0.2008832825
9	0.1995416432
10	0.1985053529
11	0.1975513911
12	0.1963800758
13	0.1954306774
14	0.194446473
15	0.1937060061
16	0.1931402532
17	0.1920254658
18	0.1907964614
19	0.1898969557
20	0.1892484755
21	0.1881583774
22	0.1873397204
23	0.1863019955
24	0.1850783818
25	0.1843197308
26	0.1835128267
27	0.1829276848
28	0.182167458
29	0.1808219209
30	0.1799278127
31	0.179053754
32	0.1779151551
33	0.1770022263
34	0.1760061309
35	0.1751518943
36	0.1743464612
37	0.1734251292
38	0.1727301551
39	0.172020558
40	0.1713022815
41	0.1706823112
42	0.1696988753
43	0.1686832659
44	0.1675612023
45	0.1664853159
46	0.1657231675
47	0.1651669914
48	0.1646662137
49	0.1637379467
50	0.1630263404
51	0.1622108428
52	0.161520188
53	0.1607500921
54	0.1599439294
55	0.1593521564
56	0.158465295
57	0.1577112878
58	0.1571313475
59	0.1562360949
60	0.1553550389
61	0.1545261568
62	0.154055774
63	0.1532401698
64	0.1524469646
65	0.151680792
66	0.1507120605
67	0.1500550125
68	0.1494337553
69	0.1485533561
70	0.1481354559
71	0.1473691178
72	0.1462888508
73	0.1454965284
74	0.1446881856
75	0.1440025743
76	0.1433610725
77	0.1426285099
78	0.1420220019
79	0.1412698697
80	0.140626466
81	0.1397664069
82	0.139062332
83	0.1383918176
84	0.1376594652
85	0.1372010854
86	0.1362946511
87	0.1357359805
88	0.13514014
89	0.1346048707
90	0.1340137358
91	0.1332825542
92	0.132616974
93	0.1320096266
94	0.1314719404
95	0.1310370231
96	0.1303397144
97	0.1298786243
98	0.1291955558
99	0.1286540475
100	0.1279317443
101	0.127538212
102	0.1270337128
103	0.1262948416
104	0.1259149196
105	0.1255292116
106	0.1251516189
107	0.1246699923
108	0.1240674883
109	0.1233908083
110	0.1225940257
111	0.1221850568
112	0.1217125435
113	0.1211614101
114	0.1207322534
115	0.1204093561
